doi,pmid,year,title,journal,authorString,citedBy,query,abstract
10.1016/j.ynstr.2026.100824,42254805,2026,"Hydroxytyrosol confers resilience against the depressive, anxiogenic and cognition-disruptive effects of chronic stress.",Neurobiology of stress,"Tantipongpiradet A, Davis R, Altieri EA, O'Connor KE, Murphy KJ.",0,microglia single cell RNA sequencing neurodegeneration 2024 [recent],"Our understanding of the causal mechanisms of disorders such as anxiety and depression remains rudimentary. There is a pressing need to develop disease-modifying and preventative therapies that can be administered early and reduce symptom emergence. Here, we used a novel chronic unpredictable restraint stress (CURS) model in female and male rats to investigate the protective potential of biotechnologically-produced hydroxytyrosol. The CURS model produced indicators of anxiety, depression, cognitive deficits and social dysfunction in the elevated plus maze, sucrose preference test, novel object recognition and social interaction, respectively. Oral dosing with hydroxytyrosol (50 mg/kg/day, oral jelly formulation) prior to and during the period of restraint stress successfully protected against the anxiety, mood, social and cognitive symptoms mediated by chronic stress. The effect of hydroxytyrosol on behaviour was accompanied by the prevention of stress-induced declines in dopamine and serotonin and increased serum levels of corticosterone. Using single-cell RNA sequencing (scRNA-seq) of the hippocampus, we identified transcriptional signatures associated with chronic stress and their normalisation by hydroxytyrosol. Chronic unpredictable restraint stress caused widespread transcriptional dysregulation across neurons, astrocytes, and microglia. Gene Ontology and KEGG analyses revealed stress-related dysregulation of glutamatergic, GABAergic, dopaminergic, and cholinergic transmission. Neurodegenerative disease-associated transcriptional modules were enriched in the genes dysregulated by chronic stress and pathways related to synaptic vesicle cycling, neurotransmitter release, oxidative phosphorylation, and protein translation were prominently disrupted. Hydroxytyrosol treatment markedly attenuated these transcriptional changes, preserving the expression of genes involved in synaptic signalling, mitochondrial integrity, and protein homeostasis, thereby protecting cogn"
10.1002/mco2.70789,42253927,2026,Beyond the Known and Established Neurodegenerative Effects: Roles of APOE Across a Wide Spectrum of Pathophysiological Condition.,MedComm,"Frosina M, Maurotti S, Castagna A, Montalcini T, Pujia A, Tirinato L.",0,microglia single cell RNA sequencing neurodegeneration 2024 [recent],"Apolipoprotein E (ApoE) is classically recognized for its role in lipid trafficking and the coordination of lipoprotein metabolism, yet its influence extends well beyond these pathways. While the contribution of ApoE isoforms to neurodegenerative disorders, most notably Alzheimer's disease, has been described in considerable detail, their impact on peripheral physiology is far less clearly defined. Evidence accumulated over the past decade suggests that variation in ApoE may shape traits such as adiposity, fat and lean mass distribution, bone density, muscle function, and cardiovascular risk, although the findings are often inconsistent across studies and populations. This review brings together current knowledge on how ApoE interfaces with several key biological processes, including inflammatory signaling, glucose and insulin responses, mitochondrial and redox homeostasis, senescence, and regulated cell death. These pathways lie at the core of many chronic disorders, yet their links to ApoE genotype remain insufficiently defined. Moreover, translation of these findings, including the use of ApoE genotyping for risk stratification, therapeutic choices, and personalized prevention is also discussed. By reframing ApoE as a systemic regulator rather than a brain-restricted factor, this review offers a cohesive roadmap for interdisciplinary research and improved clinical interpretability of ApoE-associated risk."
10.1002/jev2.70319,42226579,2026,Engineered Pericyte-Targeted Extracellular Vesicles Protect Against Hypoperfusion-Induced Cognitive Impairment and Vascular Demyelination.,Journal of extracellular vesicles,"Shen W, Liu W, Guo M, You T, Wang Y, Wen T, Liang S, Xie X, Jiang Y, Dong Q, Yu JT, Cui M.",0,microglia single cell RNA sequencing neurodegeneration 2024 [recent],"Pericyte dysfunction is an early hallmark of vascular cognitive impairment (VCI), yet targeted therapies remain limited. Here, we develop a bio-orthogonal approach to engineer extracellular vesicles (EVs) functionalized with cyclic NGR (cNGR) peptides for selective pericytes targeting. The resulting cNGR-EVs demonstrated efficient targeting of CD13-expressing brain pericytes both in vitro and in vivo. In a mouse model of chronic cerebral hypoperfusion (bilateral common carotid artery stenosis, BCAS), cNGR-EVs preserved pericyte contractility, protected against cerebral hypoperfusion, reduced blood-brain barrier leakage, and attenuated demyelination, leading to improved cognitive performance. Single-cell RNA sequencing further revealed that cNGR-EVs attenuated the majority of BCAS-induced transcriptional changes in pericytes, partially preserved pericyte-mediated intercellular communication, and normalized downstream neuronal and glial gene expression profiles. These findings underscore cNGR-EVs as a pericyte-targeted strategy capable of stabilizing the neurovascular unit, maintaining pericyte function, and preventing cognitive decline and myelin loss, highlighting pericytes as a promising therapeutic target in early VCI treatment."
10.1111/acel.70551,42186917,2026,"Loss of Brain-Derived Estrogen Is Associated With Sex- and Age-Dependent Alterations in Memory, Affective Behavior, and Hippocampal Extracellular Matrix Gene Expression.",Aging cell,"Piehl NC, Halle AW, Rodriguez G, Locci A, Kujawa S, Haywood C, Coon J, McNally RP, Karim ZA, You T, Dong H, Bulun SE, Zhao H.",0,microglia single cell RNA sequencing neurodegeneration 2024 [recent],"Nearly two-thirds of Americans with Alzheimer's disease (AD) are women. Prior research suggested that women with AD have lower brain estrogen levels than those without AD. However, how estrogen deficiency modulates this sex-based difference in AD vulnerability is not well understood. Aromatase, the key enzyme for estrogen biosynthesis, is expressed in both neurons and astrocytes of the brain, including the hippocampus. This study aims to assess the mechanistic link between brain-selective aromatase deficiency and sex-specific AD vulnerability. To achieve this goal, we used brain-specific aromatase knockout (bArKO) and whole-body total aromatase knockout (tArKO) mice of both sexes at young (6- to 8-month-old) and old (> 19-month-old) ages. We found that aromatase deletion decreased brain estrogen levels in bArKO mice and circulating and brain estrogen levels in tArKO mice. Impairment in spatial working memory and social interaction behavior was observed only in old female bArKO and tArKO mice. Both young and old female, but not male, tArKO mice displayed depression-like behavior. Bulk RNA-seq analysis of hippocampal tissues from young and old bArKO mice of both sexes revealed enrichment of extracellular matrix-related pathways and upregulated mRNA and/or protein expression of extracellular matrix-associated genes (e.g., Col1a1, Ccn2, Dcn, and Ogn) in old female bArKO mice compared to littermate control mice. These findings point to a novel link between local brain estrogen deficiency and sex- and age-specific extracellular matrix changes in the hippocampus of old bArKO female mice accompanied by AD-related memory and behavioral impairments."
10.1016/j.bioactmat.2026.04.026,42111233,2026,Neonatal small extracellular vesicle-loaded GelNB hydrogel reprograms the vascular-immune microenvironment for spinal cord injury repair.,Bioactive materials,"Yuan F, Shi C, Liang X, Xu J, Qin Y, Xu S, Chen Y, Qin T, Ding Y, Hu Z, Li C, Lu H, Hu J, Cao Y.",0,lipid-droplet microglia aging brain [recent],"Adult mammals with spinal cord injury (SCI) face permanent disability from failed regeneration and scarring, while neonatal mice achieve scarless repair. We show neonatal mouse circulating blood-derived small extracellular vesicles (NCE) rejuvenate adult spinal cord microvascular endothelial cells (SCMECs), restoring lipid metabolism, easing immune imbalance, and supporting neuroaxonal regrowth. Post-SCI myelin debris triggers IRS1-mediated PI3K-Akt-mTOR overactivation in SCMECs, causing harmful lipid droplet buildup, organelle dysfunction, and endothelial-to-mesenchymal transition (EndoMT). It also increases CXCL12 secretion from SCMECs, which recruits CXCR4<sup>+</sup> macrophages. These macrophages release TNF-α and GDF15, promoting neuronal injury and EndoMT, and forming a destructive feedback loop. We create a ""Microenvironment-Reprogramming Potent Hydrogel"" - a high-adhesion GelNB hydrogel loaded with NCE - as an efficient delivery tool. NCE targetedly deliver miR-487b-3p to block IRS1 and CXCL12, breaking the vicious cycle. This remodels microvasculature, normalizes SCMEC lipid metabolism, reduces macrophage infiltration, promotes neuroregeneration, and achieves functional recovery. Our study uncovers an endothelium-immune crosstalk axis hindering SCI repair and highlights miR-487b-3p-rich sEVs as a promising therapy."
10.3892/ijmm.2026.5861,42138190,2026,Autophagy and metabolic homeostasis: Exploration in obesity‑related metabolic diseases (Review).,International journal of molecular medicine,"Lu C, Qi X, Tong Y, Lu P, Luo D, Guan Q, Yu C.",0,lipid-droplet microglia aging brain [recent],"Autophagy is an evolutionarily conserved catabolic process in which excessive nutrients, toxic protein aggregates, damaged organelles, and invading microorganisms in the cytoplasm can be isolated by the double‑membrane structure of autophagosomes and delivered to lysosomes for degradation. Over the past two decades, research on autophagy has made significant progress. Autophagy not only plays a crucial role in maintaining intracellular homeostasis but also contributes to the development of various metabolic diseases. Metabolic imbalance of nutrients in obesity‑related metabolic diseases can interfere with the autophagy process through a variety of mechanisms, resulting in further aggravation of the pathological damage of related organs. However, under certain conditions, inhibition of autophagy can have beneficial effects, thereby alleviating some of the harmful consequences of obesity. In this review, we will focus on the latest advances in the study of autophagy in obesity‑related metabolic disorders, including type 2 diabetes, non‑alcoholic fatty liver disease, and atherosclerosis. We will systematically discuss the definition and types of autophagy, the regulation of autophagy by nutrients, the imbalance of autophagy in obesity‑related metabolic diseases and its molecular mechanism, and finally, we will summarize some drugs targeting the autophagy pathway."
10.1016/j.gendis.2025.101858,41959743,2026,ACSL4 in Alzheimer's disease: Pathogenetic mechanisms and potential therapeutic targets.,Genes & diseases,"Guo Y, Jiang Q, Gu Z, Cao H, Zuo C, Huang Y, Song Y, Chen X, Wang F.",0,lipid-droplet microglia aging brain [recent],"Iron metabolism plays a vital role in maintaining physiological homeostasis, and its dysregulation is implicated in a range of pathological consequences and illnesses, including Alzheimer's disease (AD). Prior studies have demonstrated that Tau protein and amyloid precursor protein are involved in iron homeostasis disorder. Ferroptosis, an iron-dependent form of regulated cell death, has emerged as a key contributor to AD pathogenesis and a promising therapeutic target. Acyl-CoA synthetase long-chain family 4 (ACSL4) is a lipid metabolizing enzyme that enhances ferroptosis sensitivity by promoting the incorporation of oxidizable polyunsaturated fatty acids into membrane phospholipids. Beyond ferroptosis, ACSL4 also plays crucial roles in neuroinflammation and oxidative stress, which are implicated in AD progression. Therefore, targeting ACSL4 is fantastic and has a lot of promise for treating AD. Nevertheless, the precise mechanisms through which ACSL4 contributes to AD pathology have yet to be fully elucidated. This review reveals a potentially vital role of ACSL4 in AD, focusing on its involvement in ferroptosis, oxidative stress, and neuroinflammation. Additionally, we describe some natural and synthetic compounds targeting ACSL4 with therapeutic potential in AD. Building on the theoretical findings of earlier studies about focused interventions of the ACSL4 path, our evaluation provided a broad basis for the clinical transformation in the treatment of AD strategies."
10.1111/jnc.70492,42283223,2026,Targeting Brain Cholesterol Homeostasis in Alzheimer's Disease: Mechanisms and Therapeutic Perspectives.,Journal of neurochemistry,"Ruthirakuhan M, Taha AY, Swardfager W.",0,lipid-droplet microglia aging brain [recent],"Cholesterol is a fundamental component of the central nervous system, supporting myelin integrity, synaptic structure, membrane organization, and neuronal signaling. Because the brain is largely isolated from peripheral cholesterol pools, tight regulation of brain cholesterol homeostasis is required to sustain neuronal and glial function across the lifespan. Growing evidence indicates that disruption of this balance is not merely a downstream consequence of neurodegeneration, but an upstream contributor to Alzheimer's disease (AD) pathogenesis. Altered brain cholesterol homeostasis has been linked to amyloidogenic processing, tau pathology, neuroinflammation, synaptic dysfunction, and cerebrovascular injury. This review synthesizes current evidence showing how multiple converging stressors, including peripheral hypercholesterolemia, neurodegeneration, oxidative stress, and inflammatory signaling, perturb brain cholesterol regulation. These drivers disrupt the coordinated processes of cholesterol synthesis, metabolism, and transport, shifting the system from tightly regulated sterol flux toward impaired clearance, abnormal lipid distribution, and membrane instability. Such disturbances remodel membrane lipid composition, alter lipid raft organization, and impair glial-neuronal lipid coupling, thereby accelerating amyloid-β production, tau-related vulnerability, innate immune activation, and neurovascular dysfunction. Finally, we provide an overview of therapeutic strategies aimed at restoring cholesterol balance, and highlight the potential of integrated, multi-target strategies to complement amyloid- and tau-directed therapies. By clarifying how disruptions in brain cholesterol homeostasis link systemic and central stressors to AD pathology, this review identifies cholesterol regulation as a critical, upstream axis for therapeutic intervention and disease prevention."
10.1002/alz.71403,42271180,2026,Alzheimer's disease biological domain sub-stratification enhances the precision of functional analyses.,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Cary GA, Ganesh SSA, Heath L, Leal K, Kampmann M, Longo FM, Butler RR, Levey AL, Carter GW, Wiley J.",0,lipid-droplet microglia aging brain [recent],"<h4>Introduction</h4>The Target Enablement to Accelerate Therapy Development for AD (TREAT-AD) bioinformatics pipeline employs a rank-and-organize strategy. Disease-associated genes drive enrichment of large AD-linked endophenotypes. However, these biological areas were too large to promote hypothesis development or target identification. Here we delineate subdomains that map to, and enrich, specific biological processes.<h4>Methods</h4>To refine the biodomains into more focused areas, we built κ networks out of the Gene Ontology terms in the biodomain and employ shared gene annotation between terms to determine edge weights. κ-value filtration enabled us to identify data-driven subdomains, which we employed in an analysis of TREAT-AD harmonized datasets.<h4>Results</h4>The subdomain enrichment highlights core areas of biological impairment within the biodomain space and facilitates a deeper interpretation of large-scale multiomic datasets.<h4>Discussion</h4>The subdomain mapping of AD-risk-associated processes may facilitate an open-source, open-science shareable resource for the comparison of large datasets for the formulation of future hypotheses and identification of therapeutic targets."
10.1016/j.xinn.2025.101252,42254967,2026,Organ-on-a-chip toxicology.,Innovation (Cambridge (Mass.)),"Yang S, Zhang T, Ge Y, Niu Y, Chen M, Yin L, Pu Y, Chen Z, Gu Z, Liang G.",0,lipid-droplet microglia aging brain [recent],"Traditional toxicology, with its reliance on animal models and oversimplified cell cultures, often fails to predict human responses due to interspecies differences and limited physiological relevance. Organ-on-a-chip (OoC) technology, as a microengineering breakthrough, enables reconstruction of human-relevant organ functions, providing a powerful tool for toxicity testing. However, OoC remains largely regarded as a technological platform rather than a distinct research discipline. In this review, we propose organ-on-a-chip toxicology (OCT) as a groundbreaking interdisciplinary paradigm that integrates advanced engineering, toxicological science, and biomedical research to redefine toxicological assessment. OCT transcends conventional OoC technology by providing a unified framework for elucidating toxicity effects and mechanisms at molecular, cellular, and organ levels. It uniquely enables comprehensive systemic toxicity modeling, incorporating full absorption-distribution-metabolism-excretion pathways and inter-organ signaling. Leveraging cutting-edge bioengineering, organoid-driven cellular fidelity, and AI-enhanced data analytics, OCT delivers unparalleled precision in drug safety evaluation, personalized toxicology, environmental hazard assessment, and food health. Despite current challenges in standardization, scalability, and regulatory acceptance, OCT holds the potential to revolutionize toxicological science by offering predictive, ethical, and human-centric insights, minimizing animal testing while advancing global health risk assessments."
10.1172/jci196112,41926211,2026,Aging-dependent microglial heterogeneity worsens outcomes in models of traumatic brain injury.,The Journal of clinical investigation,"Lu Z, Shuai Y, Wang C, Liu Z, Wang Z, Liu Q, Jiang R, Zhu J, Zhu Y, Liao W, Zhu X, Zhao J, Shi K, Shi W, Gong P.",0,lipid-droplet microglia aging brain [recent],"Traumatic brain injury (TBI) disproportionately affects the elderly, yet the underlying mechanisms remain unclear. Here, we demonstrate that aged TBI brains predominantly harbor proinflammatory NLRP3+ microglia, in stark contrast to the neuroprotective Lysozyme+ microglia prevalent in young TBI brains. This age-dependent microglial dichotomy correlates with elevated mortality and impaired recovery in aged TBI mice. By leveraging an integrative multiomics approach combined with metabolomics and epigenome analysis, we identified a previously unrecognized link between enhanced glycolysis and the proinflammatory chromatin landscape in NLRP3+ microglia. Further investigation identified ELF1 as a key transcription factor driving NLRP3+ microglia formation. Importantly, ablation of ELF1 reversed age-associated microglial dysfunction and improved TBI outcomes. Finally, we report that Imeglimin, a clinically approved antihyperglycemic agent capable of crossing the blood-brain barrier, inhibits ELF1 and reverses microglial phenotype, reducing acute mortality rate and leading to improved functional recovery of aged mice with TBI. Our work elucidates the mechanistic basis of age-dependent TBI outcomes, reveals the crosstalk between metabolic rewiring and epigenetic regulation in microglial aging, and identifies ELF1 as a promising therapeutic target for improving TBI outcomes."
10.4103/nrr.nrr-d-25-00625,41017708,2026,Oligodendrocyte precursor cell-neuronal lysosomal pathway: A novel therapeutic target for neurodegenerative diseases.,Neural regeneration research,"Fang LP, Zhao Y, Bai X.",0,lipid-droplet microglia aging brain [recent],
10.3390/cancers18111779,42279362,2026,Advances in Brain Tumor Biomarkers: From Molecular Profiling to Liquid Biopsy and AI-Driven Detection.,Cancers,"Nguyen TTT, Ðoàn LN, Boriushkin E, Badr CE.",0,lipid-droplet microglia aging brain [recent],"Brain tumors in older adults are difficult to diagnose and manage due to nonspecific symptoms, overlapping with neurodegenerative diseases such as dementia, and significant tumor heterogeneity. Although molecular markers such as IDH1/2 mutations, MGMT promoter methylation, TERT alterations, and 1p/19q co-deletion have improved glioma classification and prognostic assessment, current care still relies on invasive tissue biopsies, which limit longitudinal monitoring and may not fully capture tumor complexity because of sampling bias, assay variability, and limited accessibility. Liquid biopsy offers a promising alternative that enables the detection of tumor-derived DNA, RNA, proteins, and extracellular vesicles, supporting earlier diagnosis and real-time monitoring of disease progression and treatment response. However, liquid biopsy for brain tumors is not yet clinically definitive due to low biomarker abundance, lack of standardization, and limited validation, and therefore, it cannot replace tissue diagnosis. Ongoing research focuses on multi-analyte biomarker panels, improved assay standardization, and integration with imaging and tissue-based data. In parallel, artificial intelligence and machine learning are advancing the field by integrating multi-omics and radiomic data to enhance detection, classify tumors, and predict key molecular alterations, supporting the emerging framework of radiogenomics. Together, these developments are driving a shift toward more precise and dynamic approaches to brain tumor diagnosis and management, with relevance for improving outcomes in older adults with brain cancer."
10.3390/cells15111008,42274600,2026,Metabolic Crosstalk Between Host and Tumor as a Circuit of Resilience in Cancer Therapy.,Cells,"Wang J, Wu H, Wang T, Nie M.",0,lipid-droplet microglia aging brain [recent],"Therapeutic resistance in cancer arises not only from intrinsic metabolic plasticity within the tumor, but also from the systemic metabolic state of the host organism. This review advances an integrated framework centered on the metabolic network between the host and tumor to examine how host-related factors-particularly aging, nutrition, and psychological stress-remodel systemic metabolism and thereby influence the efficacy of diverse cancer therapies. We highlight a bidirectional metabolic interplay: host physiology establishes a permissive context for tumor metabolic adaptation, whereas anticancer therapies, in turn, perturb host metabolic homeostasis, accelerating aging and compromising neurocognitive health. Ultimately, we propose that overcoming therapeutic resistance will require strategies that simultaneously target tumor metabolic dependencies and reprogram the host metabolic milieu-a systemic approach poised to redefine precision oncology."
10.3390/cells15110962,42274555,2026,Polypharmacology of Pathway Crosstalk in Neurodegenerative Diseases: Chemical Modulation of Interconnected Signaling Networks.,Cells,"Khan MS, Zafar I, Noman M, Yang G, Kang KS, Bopassa JC.",0,lipid-droplet microglia aging brain [recent],"Neurodegenerative disorders, including Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), and amyotrophic lateral sclerosis (ALS), arise from highly interconnected molecular and cellular abnormalities that progressively lead to neuronal dysfunction, synaptic failure, and cell death. This review provides a unified framework to understand the interrelated molecular mechanisms driving these diseases, with a focus on identifying key disease-specific intervention nodes. Core contributors include oxidative stress, mitochondrial dysfunction, protein aggregation, neuroinflammation, and emerging roles of peroxisomal dysfunction in redox imbalance, lipid dysregulation, and inflammatory amplification. Single-target therapies often show limited efficacy due to the complex, interconnected nature of these pathways. In contrast, polypharmacology, which targets multiple disease-relevant mechanisms simultaneously, offers a more promising therapeutic strategy. This review critically examines how pathway crosstalk drives neurodegenerative progression, with particular emphasis on mitochondrial-ROS-inflammatory signaling, aggregation-proteostasis failure, synaptic-neuroimmune dysfunction, and gut-brain communication. It evaluates various multi-node intervention strategies, including multi-target-directed ligands (MTDLs), molecular hybrids, natural products, drug repurposing, and nanocarrier-based delivery systems. Advances in network pharmacology, artificial intelligence (AI), bioinformatics, and multi-omics have enhanced the identification of actionable therapeutic nodes, candidate compounds, and brain-targeted delivery platforms. Notably, the NOD-like receptor pyrin domain-containing protein 3 (NLRP3) inflammasome and cyclic GMP-AMP synthase (cGAS)-stimulator of interferon genes (STING) pathways-play distinct roles in neuroinflammation, amplifying neuronal damage by releasing inflammatory cytokines and inducing mitochondrial dysfunction. However, successful"
10.1080/15476286.2026.2639017,41784271,2026,lncRNAs: key player in Aβ deposition.,RNA biology,"Wang RM, Wang ZQ.",0,GPNMB microglia neurodegeneration [recent],"Alzheimer's disease (AD) is a typical neurodegenerative disorder, characterized by the deposition of β-amyloid (Aβ) plaques. β- and γ-secretases generate Aβ by cleaving amyloid precursor protein. The imbalance between its production and clearance leads to Aβ accumulation, causing neuronal damage through mechanisms such as inducing oxidative stress and inflammatory responses. Long non-coding RNAs (LncRNAs), composed of more than 200 nucleotides, usually do not encode proteins and are involved in processes such as gene expression regulation, chromatin remodelling, and cell cycle control. Studies have shown that LncRNAs play a key role in brain development and the maintenance of neuronal function, especially by influencing Aβ deposition to affect the progression of AD. This review summarizes the pathways by which LncRNAs affect Aβ deposition, classifies them according to their modes of action, discusses the existing problems in current research, and summarizes and prospects their role in the treatment of AD."
10.1002/mco2.70749,42164655,2026,Fatty Acid Metabolism in Health and Cancer: From Fundamental Mechanisms to Therapeutic Application.,MedComm,"Hang N, Zhao R, Zhang F, Guo D, Li Q, Shen Z, Gao R, Gao C, Xie Z, Fu S, Luo P, Tang B, Wang L.",0,GPNMB microglia neurodegeneration [recent],"Fatty acid metabolism (FAM) plays a vital role in maintaining health by supporting energy production, cellular structure, and signaling processes. However, once this tightly regulated network becomes disrupted, it is increasingly recognized as being linked to the onset and progression of numerous chronic diseases, with cancer being one of the most prominent and clearly defined examples. In addition to the field of oncology, alterations in FAM can also lead to immune dysfunction, inflammatory responses, and metabolic disorders, including diabetes, cardiovascular disease, and neurodegenerative diseases. We examine how different cell types adapt their metabolic behavior within inflamed and tumor-rich environments, often leveraging FAM to support survival or suppress immune activity. By highlighting recent discoveries in metabolic regulation, intercellular communication, and disease-specific lipid signatures, we identify new opportunities for therapeutic intervention. These include targeted drugs, gene therapies, nanomedicine platforms, and dietary strategies aimed at restoring metabolic balance. We also discuss the emerging role of fatty acid-related biomarkers in advancing precision oncology and broader applications in personalized medicine. Together, these insights underscore the centrality of FAM in human health and disease, with particular emphasis on its growing promise as a therapeutic target in cancer and beyond."
10.4103/nrr.nrr-d-25-00113,40817729,2026,Low-intensity transcranial ultrasound neuromodulation promotes neuronal regeneration: A new hope for noninvasive treatment of neurodegenerative diseases.,Neural regeneration research,"Xia S, He C, Li Y, Li H, Wang B, Xu L, Zhao X.",1,GPNMB microglia neurodegeneration [recent],"Neurodegenerative diseases, which are characterized by progressive neuronal loss and the lack of disease-modifying therapies, are becoming a major global health challenge. The existing neuromodulation techniques, such as deep brain stimulation and transcranial magnetic stimulation, show limitations such as invasiveness, restricted cortical targeting, and irreversible tissue effects. In this context, low-intensity transcranial ultrasound has emerged as a promising noninvasive alternative that can penetrate deep into the brain and modulate neuroplasticity. This review comprehensively assesses the therapeutic mechanisms, efficacy, and translational potential of low-intensity transcranial ultrasound in treating neurodegenerative diseases, with emphasis on its role in promoting neuronal regeneration, modulating neuroinflammation, and enhancing functional recovery. We summarize the findings of previous studies and systematically illustrate the potential of low-intensity transcranial ultrasound in regulating cell death mechanisms, enhancing neural repair and regeneration, and alleviating symptoms associated with neurodegenerative diseases. Preclinical findings indicate that low-intensity transcranial ultrasound can enhance the release of neurotrophic factors (e.g., brain-derived neurotrophic factor), promote autophagy to clear protein aggregates, modulate microglial activation, and temporarily open the blood-brain barrier to facilitate targeted drug delivery. Existing clinical trial data show that low-intensity transcranial ultrasound can reduce amyloid-β plaques, improve motor and cognitive deficits, and promote remyelination in various disease models. Early clinical trials suggest that low-intensity transcranial ultrasound may enhance cognitive scores in Alzheimer's disease and alleviate motor symptoms in Parkinson's disease, all while demonstrating a favorable safety profile. Past studies support the notion that by integrating safety, precision, and reversibility, low-i"
10.3390/ijms27114788,42278317,2026,From Lysosomal Storage to Neurodegeneration: Sphingolipid Signaling as a Driver of CNS Pathology and Biomarker Strategy in Neuronopathic Gaucher Disease.,International journal of molecular sciences,"Casazza K, Kartha RV, Jarnes JR.",0,GPNMB microglia neurodegeneration [recent],"Gaucher disease is a prototypical lysosomal sphingolipid storage disorder caused by pathogenic variants in <i>GBA1</i>, resulting in glucocerebrosidase deficiency and accumulation of bioactive lipids, including glucosylceramide and glucosylsphingosine (lyso-Gb1). While non-neuronopathic Gaucher disease is effectively managed with enzyme replacement and substrate reduction therapies, neuronopathic forms remain largely refractory to treatment due to progressive central nervous system (CNS) involvement and limited penetration of current therapies across the blood-brain barrier. Disease pathobiology extends beyond lysosomal substrate accumulation to encompass dysregulated sphingolipid signaling, particularly sphingosine-1-phosphate (S1P)-mediated ""inside-out"" signaling, alongside neuroinflammation, oxidative stress, and glial activation, which collectively drive neurodegeneration. In this review, we synthesize current knowledge on sphingolipid metabolism and signaling in neuronopathic Gaucher disease and integrate these mechanisms into a three-tier, CNS-focused biomarker framework. The first tier comprises substrate-proximal markers of lysosomal burden (lyso-Gb1), which reflect GCase deficiency and correlate with systemic disease severity but incompletely capture CNS pathology. The second tier comprises markers of glial activation and neuroinflammation (glial fibrillary acidic protein [GFAP], glycoprotein non-metastatic melanoma protein B [GPNMB]), which reflect the downstream neuroimmune response to sphingolipid accumulation. The third tier comprises markers of neuroaxonal injury (neurofilament light chain [NfL]), which index irreversible neuronal damage as the terminal consequence of uncontrolled CNS disease. Together, these tiers map distinct but mechanistically interconnected stages of disease progression, from lysosomal dysfunction through glial activation to neuroaxonal loss, enabling stage-specific interpretation of biomarker signals that single-analyte approache"
,,2026,Integrating dorsolateral prefrontal cortex multi-omics and GWAS summary data reveals genetic etiology of Parkinson’s disease,Research square,,0,GPNMB microglia neurodegeneration [recent],
10.3390/cells15100928,42193936,2026,Emerging Therapeutic Strategies for Neurodegenerative Diseases: A Comprehensive Review of Recent Advances and Future Directions.,Cells,"Sepehrimanesh M, Melen SV, Yeasmin F, Ojo VA, Walden F, Urmee H, Etheridge J, Nasu AK.",0,GPNMB microglia neurodegeneration [recent],"Neurodegenerative diseases, including Alzheimer's disease (AD), Parkinson's disease (PD), and amyotrophic lateral sclerosis (ALS; Lou Gehrig's disease), represent a growing global health burden characterized by progressive neuronal loss and functional decline. Despite decades of intensive research, effective disease-modifying therapies remain limited, underscoring the urgent need for innovative therapeutic strategies. This review highlights recent advances in the understanding of disease etiology and emerging treatment approaches, with a particular focus on modalities with translational potential. We discussed novel disease-modifying interventions, including gene and cell therapies, RNA-targeting strategies, and immunotherapies aimed at clearing misfolded proteins such as amyloid-β, tau, and α-synuclein. In parallel, we examined the evolving recognition of neuroinflammation and mitochondrial dysfunction as actionable therapeutic targets, alongside progress in precision medicine and biomarker-guided approaches that enable early diagnosis and individualized treatment. Additionally, we summarized developments in repurposed pharmacological agents, neuroprotective compounds, and lifestyle interventions, emphasizing the importance of integrative, multimodal strategies. Across AD, PD, and ALS, convergent molecular mechanisms, including protein misfolding, oxidative stress, and disrupted proteostasis, present opportunities for cross-disease therapeutic targeting. Finally, we addressed key challenges and future directions, including translating preclinical efficacy into clinical success, optimizing CNS-targeted delivery systems, and navigating ethical considerations surrounding gene editing and stem cell therapies."
10.1177/09727531261442666,42170620,2026,Body Fluid-based Biomarkers for Cognitive Impairment in Parkinson's Disease.,Annals of neurosciences,"R R, Choudhury S, N C K, Bharath MMS, Rathod BLS, Yadav R, Alladi PA.",0,GPNMB microglia neurodegeneration [recent],"<h4>Background</h4>Parkinson's disease (PD) is the second most common neurodegenerative disorder with cognitive impairment as a prime non-motor symptom. Biomarkers can assist in detecting cognitive impairment, which normally follows movement dysfunction, and also assist in the differentiation of PD patients with and without cognitive dysfunction, facilitating the early diagnosis and disease management while also allowing for timely therapeutic intervention.<h4>Summary</h4>Here, we have reviewed the biomarkers of Parkinson's disease from different sources i.e., body fluids (CSF, blood, salivary, urine and tear) and tissues (gut and skin), along with the techniques used for the detection of these biomarkers. We further discuss the importance of biomarker validation and the significance of cohort studies in biomarker discoveries.<h4>Key message</h4>The chapter is aimed at updating the knowhow of the disease biomarkers that may assist differentiation of these overlapping entities."
,,2026,Satellite microglia-like cells in human dorsal root ganglia and changes with diabetic neuropathy,bioRxiv : the preprint server for biology,,0,GPNMB microglia neurodegeneration [recent],
